,tipo_de_accidente,responsabilidad,descripcion_del_hecho,descripcion_del_hecho - Final
389,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 VH ASEGURADO DETENIDO ESPERANDO QUE OTRO AL AVANZAR TOCA CON LA RUEDA TRASERA DERECHA A UNA PERSONA EN BICICLETA .OCASIONANDOLE LESIONES EN EL PIE DERECHO DE TIPO RASPON ASEGURADO LO TRASLADA A CENTRO MEDICO DE BARRIO SANTA MARTA ,SIN INTERVENCION POLICIAL .\par
\f1\fs20 .-\par}","VH ASEGURADO DETENIDO ESPERANDO QUE OTRO AL AVANZAR TOCA CON LA RUEDA TRASERA DERECHA A UNA PERSONA EN BICICLETA .OCASIONANDOLE LESIONES EN EL PIE DERECHO DE TIPO RASPON ASEGURADO LO TRASLADA A CENTRO MEDICO DE BARRIO SANTA MARTA ,SIN INTERVENCION POLICIAL .
 .-"
397,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VH ASEGURADO CIRCULANDO POR 215 EN LA ESQUINA DE LA CALLE VERGARA SE LE CRUZA UNA BICICLETA Y LO COLISIONA CON LA PARTE DELANTERA CON LA RUEDA DELANTERA DEL TERCERO ,TERCERO NO PRESENTO LESIONES APARENTES MANIFESTO DOLENCIA EN LA PIERNA DERECHA ,SIN INTERVENCION DE AMBULANCIA ,INTERV LA POLICIA ,SIN DESPLAZAMIENTOS.\par}","VH ASEGURADO CIRCULANDO POR 215 EN LA ESQUINA DE LA CALLE VERGARA SE LE CRUZA UNA BICICLETA Y LO COLISIONA CON LA PARTE DELANTERA CON LA RUEDA DELANTERA DEL TERCERO ,TERCERO NO PRESENTO LESIONES APARENTES MANIFESTO DOLENCIA EN LA PIERNA DERECHA ,SIN INTERVENCION DE AMBULANCIA ,INTERV LA POLICIA ,SIN DESPLAZAMIENTOS."
436,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 BAJANDO DE MI VEH\'cdCULO CON LA PUERTA ABIERTA, UNA BICICLETA COLISION\'d3 MI PUERTA DELANTERA IZQUIERDA. INTERVINIERON POLIC\'cdA Y AMBULANCIA.\par
.-\par}","BAJANDO DE MI VEHCULO CON LA PUERTA ABIERTA, UNA BICICLETA COLISION MI PUERTA DELANTERA IZQUIERDA. INTERVINIERON POLICA Y AMBULANCIA.
.-"
447,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VH ASEGURADO CIRCULANDO POR URIARTE, , AL GIRAR A LA IZQUIERDA A LOYOLA, FUE COLISIONADO LA PARTE DELANTERA POR UN TERCERO QUE CIRCULABA POR LA BICISENDA , DESDE LA IZQUIERDA DEL ASEGURADO , SENTIDO CONTRARIO  A LA CALLE LOYOLA  (BICI, NO RECUERDA SI TENIA CASCO, CAYO SOBRE EL CAPOT Y LUEGO AL SUELO) QUE CIRCULABA POR BICISENDA DE LOYOLA, EL TERCERO FUE TRASLADADO EL SAME AL HTAL DURAN. INTERVINO TAMBIEN POLICIA.-\par
\par}","VH ASEGURADO CIRCULANDO POR URIARTE, , AL GIRAR A LA IZQUIERDA A LOYOLA, FUE COLISIONADO LA PARTE DELANTERA POR UN TERCERO QUE CIRCULABA POR LA BICISENDA , DESDE LA IZQUIERDA DEL ASEGURADO , SENTIDO CONTRARIO  A LA CALLE LOYOLA  (BICI, NO RECUERDA SI TENIA CASCO, CAYO SOBRE EL CAPOT Y LUEGO AL SUELO) QUE CIRCULABA POR BICISENDA DE LOYOLA, EL TERCERO FUE TRASLADADO EL SAME AL HTAL DURAN. INTERVINO TAMBIEN POLICIA.-
"
454,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 VH ASEGURADO DETENIDO EN EL SEMAFORO SOBRE AV LAS HERAS CUANDO EL COMPA\'d1ERO DE TRABAJO QUE IBA SENTADO DE ESE LADO ABRE LA PUERTA TRASERA DERECHA PARA BAJAR Y ES COLISIONADO POR UN TERCERO EN BICI QUE CIRCULABA POR LA MISMA. LA BICI Y EL CICLISTA CAYERON AL PISO. NO LLEVABA CASCO. EL ASEGURADO TRASLADA AL CICLISTA AL HTAL. FERNANDEZ. NO TENIA LESIONES APARENTES..-\f1\fs20\par}",VH ASEGURADO DETENIDO EN EL SEMAFORO SOBRE AV LAS HERAS CUANDO EL COMPAnERO DE TRABAJO QUE IBA SENTADO DE ESE LADO ABRE LA PUERTA TRASERA DERECHA PARA BAJAR Y ES COLISIONADO POR UN TERCERO EN BICI QUE CIRCULABA POR LA MISMA. LA BICI Y EL CICLISTA CAYERON AL PISO. NO LLEVABA CASCO. EL ASEGURADO TRASLADA AL CICLISTA AL HTAL. FERNANDEZ. NO TENIA LESIONES APARENTES..-
463,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 DETENIDO EN EL SEMAFORO SOBRE AV. H. YRIGOYEN ENTRE ACEVEDO Y LAPRIDA MOMENTO EN QUE EL ACOMPA\'d1ANTE DEL AUTO ASEGURADO, ABRE LA PUERTA, MOMENTO EN QUE LA BICICLETA EMBISTE LA PUERTA, UNA SOLA PERSONA EN LA BICICLETA CAE AL PAVIMENTO, SE LASTIMA MANO Y RODILLA, PARTICIPA AMBULANCIA Y POLICIA EN EL LUGAR, NO QUISO SER TRASLADADO POR LA AMBULANCIA.-\f1\fs20\par}","DETENIDO EN EL SEMAFORO SOBRE AV. H. YRIGOYEN ENTRE ACEVEDO Y LAPRIDA MOMENTO EN QUE EL ACOMPAnANTE DEL AUTO ASEGURADO, ABRE LA PUERTA, MOMENTO EN QUE LA BICICLETA EMBISTE LA PUERTA, UNA SOLA PERSONA EN LA BICICLETA CAE AL PAVIMENTO, SE LASTIMA MANO Y RODILLA, PARTICIPA AMBULANCIA Y POLICIA EN EL LUGAR, NO QUISO SER TRASLADADO POR LA AMBULANCIA.-"
472,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 CIRCULABA POR MERCEDES CON DIRECCION A LASCANO, AL LLEGAR A LA ESQUINA REDUZCO LA VELOCIDAD Y AL CRUZAR  LASCANO COLISIONO CON EL CICLISTA QUE VENIA POR LASCANO MANO IZQUIERDA DEL ASEGURADO, EL CUAL ME ROZA EL PARAGOLPE IZQUIERDO PROVOCANDO SU CAIDA. SIENDO ESTE TRASLADADO AL HOSPITAL ALVAREZ INTERVINIENDO LA COMISARIA EX 43 AHORA DENOMINADA COMUNA A10.\par
\par}","CIRCULABA POR MERCEDES CON DIRECCION A LASCANO, AL LLEGAR A LA ESQUINA REDUZCO LA VELOCIDAD Y AL CRUZAR  LASCANO COLISIONO CON EL CICLISTA QUE VENIA POR LASCANO MANO IZQUIERDA DEL ASEGURADO, EL CUAL ME ROZA EL PARAGOLPE IZQUIERDO PROVOCANDO SU CAIDA. SIENDO ESTE TRASLADADO AL HOSPITAL ALVAREZ INTERVINIENDO LA COMISARIA EX 43 AHORA DENOMINADA COMUNA A10.
"
486,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 : ME ENCONTRABA CIRCULANDO POR LA CALLE AVALOS CRUZANDO LA CALLE PAMPA DANDO PASO A UN CICLISTA EN LA CICLOVIA CUANDO UN MOTOCICLISTA QUE VENIA POR LA CALLE PAMPA AL VERME FRENA REPENTINAMENTE PROVOCANDO EL VUELCO Y DESLIZAMIENTO DEL SCOOTER SIN LLEGAR A COLICIONAR CON MI VEHICULO. EL CONDUCTOR Y EL ACOMPA\'d1ANTE NO TEN\'cdAN EL CASCO PUESTO. EL ACOMPA\'d1ANTE NO TEN CHALECO REFRACTARIO OBLIGATORIO. SE RETIRO CON EL SAME DATOS DEL TERCERO: KYMCO HLM259 0\par
\f1\fs20\par}",": ME ENCONTRABA CIRCULANDO POR LA CALLE AVALOS CRUZANDO LA CALLE PAMPA DANDO PASO A UN CICLISTA EN LA CICLOVIA CUANDO UN MOTOCICLISTA QUE VENIA POR LA CALLE PAMPA AL VERME FRENA REPENTINAMENTE PROVOCANDO EL VUELCO Y DESLIZAMIENTO DEL SCOOTER SIN LLEGAR A COLICIONAR CON MI VEHICULO. EL CONDUCTOR Y EL ACOMPAnANTE NO TENAN EL CASCO PUESTO. EL ACOMPAnANTE NO TEN CHALECO REFRACTARIO OBLIGATORIO. SE RETIRO CON EL SAME DATOS DEL TERCERO: KYMCO HLM259 0
"
487,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VENIA CIRCULANDO POR WAITH CUANDO AL DOBLAR EN CAJARAVILLE HABIA AUTOS ESTACIONADOS DE AMBOS LADOS Y SIN QUERER ROSO UNA BICICLETA - LA CUAL SE FUE POR SUS PROPIOS MEDIOS  \par}",VENIA CIRCULANDO POR WAITH CUANDO AL DOBLAR EN CAJARAVILLE HABIA AUTOS ESTACIONADOS DE AMBOS LADOS Y SIN QUERER ROSO UNA BICICLETA - LA CUAL SE FUE POR SUS PROPIOS MEDIOS  
524,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 ASEG CIRCULANDO SOBRE CALLE MEXICO, TERCERO (BICICLETA) SOBRE LA MISMA SALE DETRAS DE UN CONTAINER DE BASURA Y LO IMPACTA EN EL ESPEJO DERECHO. TERCERO NO LLEGA A CAER AL PISO, SE VA ANDANDO SIN DAR DATOS. SIN INTERVENCION DE POLICIA NI AMBULANCIA, SIN LESIONES VISIBLES.\par
\par}","ASEG CIRCULANDO SOBRE CALLE MEXICO, TERCERO (BICICLETA) SOBRE LA MISMA SALE DETRAS DE UN CONTAINER DE BASURA Y LO IMPACTA EN EL ESPEJO DERECHO. TERCERO NO LLEGA A CAER AL PISO, SE VA ANDANDO SIN DAR DATOS. SIN INTERVENCION DE POLICIA NI AMBULANCIA, SIN LESIONES VISIBLES.
"
527,AUTO - CICLISTA,CONCURRENTE,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 IBA CIRUCLNADO POR CALLE 850 , A LLEGAR A LA INTERSECCION CON CALLE 893, TENIENDO SEMAFORO VERDE A MI FAVOR CRUZO Y DESDE CALLE 853 CRUZA UNA BICICLETA CON UN SOLO OCUPANTE SI CASCO CON EL CUAL SE PRODUCE LA COLISION DE MI PARTE DELANTERA IZQUIERDA CON EL BICICLO. EL CICLISTA CAE AL PISO LEVANTANDOSE POR SUS MEDIOS Y RETIRANDOSE RAPIDAMENTE SIN DEJAR DATOS. SIN INTERVENSION POLICIAL NI AMBULANCIA. NO MANIFESTO DOLOR ALGUNO.\par
\f1\fs20\par}","IBA CIRUCLNADO POR CALLE 850 , A LLEGAR A LA INTERSECCION CON CALLE 893, TENIENDO SEMAFORO VERDE A MI FAVOR CRUZO Y DESDE CALLE 853 CRUZA UNA BICICLETA CON UN SOLO OCUPANTE SI CASCO CON EL CUAL SE PRODUCE LA COLISION DE MI PARTE DELANTERA IZQUIERDA CON EL BICICLO. EL CICLISTA CAE AL PISO LEVANTANDOSE POR SUS MEDIOS Y RETIRANDOSE RAPIDAMENTE SIN DEJAR DATOS. SIN INTERVENSION POLICIAL NI AMBULANCIA. NO MANIFESTO DOLOR ALGUNO.
"
549,AUTO - CICLISTA,DISCUTIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 EL ASEGURADO ESTABA DETENIDO SOBRE CALLE RUCCI , MANIOBRA PARA GIRAR HACIA CALLE ATENAS , IMPACTA CON SU PARTE DELANTERA A UN TERCERO QUE CIRCULABA SOBRE CALLE RUCCI . SIN DESPLAZAMIENTOS . EN LA BICICLETA IBA UN SOLO OCUPANTE SIN CASCO . CAE AL PISO, PRESENTABA DOLOR DE BRAZO Y PIERNA , INTERVINO POLICIA DE ISIDRO CASANOVA . FUE TRASLADADO AL HOSPITAL SOLIS EN AMBULANCIA- A CAUSA DEL HECHO SE ROMPE EL PARABRISAS DELANTERO.\par
\f1\fs20\par}","EL ASEGURADO ESTABA DETENIDO SOBRE CALLE RUCCI , MANIOBRA PARA GIRAR HACIA CALLE ATENAS , IMPACTA CON SU PARTE DELANTERA A UN TERCERO QUE CIRCULABA SOBRE CALLE RUCCI . SIN DESPLAZAMIENTOS . EN LA BICICLETA IBA UN SOLO OCUPANTE SIN CASCO . CAE AL PISO, PRESENTABA DOLOR DE BRAZO Y PIERNA , INTERVINO POLICIA DE ISIDRO CASANOVA . FUE TRASLADADO AL HOSPITAL SOLIS EN AMBULANCIA- A CAUSA DEL HECHO SE ROMPE EL PARABRISAS DELANTERO.
"
600,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}{\f1\fswiss\fprq2\fcharset0 Calibri;}}
\viewkind4\uc1\pard\fs20 EL ASEGURADO CIRCULABA POR GARCIA DEL RIO, AL CRUZAR CRAMER FRENA PORQUE VE A UNA BICICLETA Y ESTA LO TERMINA IMPACTANDO EN EL LATERAL DELANTERO IZQUIERDO, SIN CASCO, CAE AL SUELO Y TEN\'cdA UN CORTE LA CABEZA, LO LLEVA AL HTAL PIROVANO. NO INTERVIENE POLICIA, NI AMBULANCIA.-\f1\fs22\par
\f0\fs20\par}","EL ASEGURADO CIRCULABA POR GARCIA DEL RIO, AL CRUZAR CRAMER FRENA PORQUE VE A UNA BICICLETA Y ESTA LO TERMINA IMPACTANDO EN EL LATERAL DELANTERO IZQUIERDO, SIN CASCO, CAE AL SUELO Y TENA UN CORTE LA CABEZA, LO LLEVA AL HTAL PIROVANO. NO INTERVIENE POLICIA, NI AMBULANCIA.-
"
601,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 VH ASEGURADO ESTABA SALIENDO DE SU POSICION DE ESTACIONADO, CUANDO UNA BICICLETA QUE CIRCULABA POR LA MISMA CALLE GOLPEA EL AUTO ASEGURADO EN EL LATERAL DERECHO . EL CICLISTA CAE DE SU BICICLETA AL SUELO, NO INTERVINO POLICIA NI AMBULANCIA. A SIMPLE VISTA TENIA NUN RASPON EN UNA PIERNA Y RENGUEABA, PERO NO QUISO SER ASISTIDO. INTERCAMBIAMOS DATOS Y NOS RETIRAMOS.\par}","VH ASEGURADO ESTABA SALIENDO DE SU POSICION DE ESTACIONADO, CUANDO UNA BICICLETA QUE CIRCULABA POR LA MISMA CALLE GOLPEA EL AUTO ASEGURADO EN EL LATERAL DERECHO . EL CICLISTA CAE DE SU BICICLETA AL SUELO, NO INTERVINO POLICIA NI AMBULANCIA. A SIMPLE VISTA TENIA NUN RASPON EN UNA PIERNA Y RENGUEABA, PERO NO QUISO SER ASISTIDO. INTERCAMBIAMOS DATOS Y NOS RETIRAMOS."
612,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 MI VEHICULO ESTACIONADO CON MOTOR APAGADO CUANDO ABRO LA PUERTA DELANTERA IZQUIERDA UNA BICICLETA IMPACTA CON LA MISMA Y DETRAS DE ESTA OTRA BICICLETA IMPACTA CON LA PRIMER BICICLETA/ AMBOS CONDUCTORES DE LAS BICICLITAS, CAEN AL SUELO, SIN CASCO, SUFREN LESIONES Y SON TRASLADOS POR AMBULANCIA SAME AL HOSPITAL PIROVANO- NO HUBO MAS INVOLUCRADOS- CEL 155939-4231\par
15/10 FORMALIZO EN CASA CENTRAL \par
\par
AMPLIAMOS CON EL ASEGURADO. EN CUANTO A LA MECANICA MANIFIESTA QUE IBAN DOS CICLISTAS A LA PAR. SE PRODUCE LA COLISION CON UNA DE ELLAS AL ABRIR LA PUERTA DE SU RODADO PARA PODER BAJAR. Y A RAIZ DE ELLO UNA CAE SOBRE LA OTRA. LOS CICLISTAS CAEN. ERAN PADRE E HIJA. \par
\par
EL HOMBRE TENIA HERIDA CORTANTE EN MENTON Y POSIBLE FRACTURA DE DEDO ME\'d1IQUE IZQUIERDO. \par
LA CHICA TENIA ROTO UN DIENTE Y GOLPES VAROIS.  \par
\par
EL ASEGURADO ES MEDICO,  LOS REVISO EN EL MOMENTO PARA CONSTATAR QUE NO HUBIERA LESIONES GRAVES \par
\par
LA POLICIA FUE AL LUGAR DEL HECHO. QUEDO RETENIDO EN LA CALLE COMO DOS HORAS  HASTA QUE LABRARON EL ACTA. \par
\par
INTERVINO  FISCALIA de avenida Cabildo correspondiente a la comuna 12  \par
\par
NO LE HICIERON ALCOHOLEMIA \par
\par
LOS TERCEROS FUERON TRASLADADOS EN AMBULANCIA \par
\par
DA\'d1OS EN LA PUERTA DE SU RODADO\par
\par}","MI VEHICULO ESTACIONADO CON MOTOR APAGADO CUANDO ABRO LA PUERTA DELANTERA IZQUIERDA UNA BICICLETA IMPACTA CON LA MISMA Y DETRAS DE ESTA OTRA BICICLETA IMPACTA CON LA PRIMER BICICLETA/ AMBOS CONDUCTORES DE LAS BICICLITAS, CAEN AL SUELO, SIN CASCO, SUFREN LESIONES Y SON TRASLADOS POR AMBULANCIA SAME AL HOSPITAL PIROVANO- NO HUBO MAS INVOLUCRADOS- CEL 155939-4231
15/10 FORMALIZO EN CASA CENTRAL 

AMPLIAMOS CON EL ASEGURADO. EN CUANTO A LA MECANICA MANIFIESTA QUE IBAN DOS CICLISTAS A LA PAR. SE PRODUCE LA COLISION CON UNA DE ELLAS AL ABRIR LA PUERTA DE SU RODADO PARA PODER BAJAR. Y A RAIZ DE ELLO UNA CAE SOBRE LA OTRA. LOS CICLISTAS CAEN. ERAN PADRE E HIJA. 

EL HOMBRE TENIA HERIDA CORTANTE EN MENTON Y POSIBLE FRACTURA DE DEDO MEnIQUE IZQUIERDO. 
LA CHICA TENIA ROTO UN DIENTE Y GOLPES VAROIS.  

EL ASEGURADO ES MEDICO,  LOS REVISO EN EL MOMENTO PARA CONSTATAR QUE NO HUBIERA LESIONES GRAVES 

LA POLICIA FUE AL LUGAR DEL HECHO. QUEDO RETENIDO EN LA CALLE COMO DOS HORAS  HASTA QUE LABRARON EL ACTA. 

INTERVINO  FISCALIA de avenida Cabildo correspondiente a la comuna 12  

NO LE HICIERON ALCOHOLEMIA 

LOS TERCEROS FUERON TRASLADADOS EN AMBULANCIA 

DAnOS EN LA PUERTA DE SU RODADO
"
614,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 ESTACIONADO SOBRE RIVADAVIA. CUANDO ABRO LA PUERTA PARA SUBIR AL VEHICULO, UNA BICICLETA CHOCA LA PUERTA DELANTERA IZQUIERDA DEL ASEGURADO. EL CICLISTA CAE AL PISO SIN PERDIDA DE CONOCIMIENTO. INTERVINO AMBULANCIA Y POLICIA.\par}","ESTACIONADO SOBRE RIVADAVIA. CUANDO ABRO LA PUERTA PARA SUBIR AL VEHICULO, UNA BICICLETA CHOCA LA PUERTA DELANTERA IZQUIERDA DEL ASEGURADO. EL CICLISTA CAE AL PISO SIN PERDIDA DE CONOCIMIENTO. INTERVINO AMBULANCIA Y POLICIA."
615,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 CIRCULANDO POR AV CORRIENTES, FRENO Y MI SE\'d1ORA QUE VENIA DE ACOMPA\'d1ANTE ABRE LA PUERTA DELANTERA DERECHA MOMENTO EN EL CUAL PASABA UNA BICI Y LA MISMA EMBISTE LA PUERTA. EL UNICO OCUPANTE DE LA BICI CAE AL PAVIMENTO, SE LEVANTA POR SUS PROPIOS MEDIOS TENIA RASPONES A LA ALTURA DEL CUELLO Y RODILLA. NO INTERVINO POLICIA NI AMBULANCIA. YO LE DI MIS DATOS PERO NO TOME LOS DE EL\par
\f1\fs20 .-\par}","CIRCULANDO POR AV CORRIENTES, FRENO Y MI SEnORA QUE VENIA DE ACOMPAnANTE ABRE LA PUERTA DELANTERA DERECHA MOMENTO EN EL CUAL PASABA UNA BICI Y LA MISMA EMBISTE LA PUERTA. EL UNICO OCUPANTE DE LA BICI CAE AL PAVIMENTO, SE LEVANTA POR SUS PROPIOS MEDIOS TENIA RASPONES A LA ALTURA DEL CUELLO Y RODILLA. NO INTERVINO POLICIA NI AMBULANCIA. YO LE DI MIS DATOS PERO NO TOME LOS DE EL
 .-"
633,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 LA ASEGURADA AL ABRIR LA PUERTA DELANTERA IZQUIERDA PARA DESCENDER TENIENDO EL VH ESTACIONADO-ES EMBESTIDO LA PUERTA POR UN CICLISTA QUE PASABA-EL CICLISTA CAE-SE LEVANTA POR SUS MEDIOS PUDIENDO CAMINAR SIN INCONVENIENTES -LLAMA EL MISMO A SU TRABAJO - POLICIA Y SAME SIENDO TRASLADADO AL SANTOIANI, SIN LESIONES APARENTES - EL TERCERO NO LLEVABA CASCO\par
ASEGURADA TAMBIEN LLAMO AL SAME-\par
\par}","LA ASEGURADA AL ABRIR LA PUERTA DELANTERA IZQUIERDA PARA DESCENDER TENIENDO EL VH ESTACIONADO-ES EMBESTIDO LA PUERTA POR UN CICLISTA QUE PASABA-EL CICLISTA CAE-SE LEVANTA POR SUS MEDIOS PUDIENDO CAMINAR SIN INCONVENIENTES -LLAMA EL MISMO A SU TRABAJO - POLICIA Y SAME SIENDO TRASLADADO AL SANTOIANI, SIN LESIONES APARENTES - EL TERCERO NO LLEVABA CASCO
ASEGURADA TAMBIEN LLAMO AL SAME-
"
640,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fswiss\fprq2\fcharset0 Calibri;}{\f1\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\f0\fs22 : LUGAR DE OCURRENCIA : VALENTIN ALSINA Y FARI\'d1A, MONTEGRANDE. CIRCULANDO POR VALENTIN ALSINA CUANDO DE REPENTE ENCIERRO A UNA BICICLETA QUE VENIA A MI DERECHA Y LA ROZO CON MI PARTE DELANTERA DERECHA. EN LA BICICLETA IBA UNA SOLA PERSONA, CON CASCO, CAYO AL PISO, SE LEVANTO POR SUS PROPIOS MEDIOS, NO VINO AMBULANCIA NI POLICIA.  TE 1169174068\f1\fs20\par}",": LUGAR DE OCURRENCIA : VALENTIN ALSINA Y FARInA, MONTEGRANDE. CIRCULANDO POR VALENTIN ALSINA CUANDO DE REPENTE ENCIERRO A UNA BICICLETA QUE VENIA A MI DERECHA Y LA ROZO CON MI PARTE DELANTERA DERECHA. EN LA BICICLETA IBA UNA SOLA PERSONA, CON CASCO, CAYO AL PISO, SE LEVANTO POR SUS PROPIOS MEDIOS, NO VINO AMBULANCIA NI POLICIA.  TE 1169174068"
642,AUTO - CICLISTA,COMPROMETIDA,"{\rtf1\ansi\ansicpg1252\deff0\deflang11274{\fonttbl{\f0\fnil\fcharset0 Arial;}}
\viewkind4\uc1\pard\fs20 CIRCULABA POR VENEZUELA  AL LLEGAR A LA ESQUINA, SE CORTA VENEZUELA  DOBLA A VIRREY LINIERS  A LA DERECHA Y DESDE LA SENDA PEATONAL LA BICI ME EMBISTE EN LA PARTE DELANTERA DERECHA, CAE AL PISO, NO SE LEVANTA SOLO, SE LO LLEVA EL SAME, LA POLICIA ME SECUESTRO EL AUTO\par
\par
ASEGURADO FORMALIZO EN OFICINA DE NAZCA \par
CIRCULABA POR VENEZUELA, GIRA A LA DERECHA PARA TOMAR VIRREY LINIERS \par
BICICLETA POR BICISENDA DESDE LA DERECHA POR VIRREY LINIERS \par
EL DA\'d1O ES EN EL LADO DERECHO DEL RODADO ASEGURADO (PARAGOLPES) \par
EL TERCERO FUE TRASLADADO  EN AMBULANCIA \par
FUE LA POLICIA PERO NO LE HICIERON ALCOHOLEMIA \par
NO TIENE CERT DE ACTUACIONES \par
INTERVINO LA COMISARIA 10 \par
FISCALIA PENAL Y CONTRAVENCIONAL 22 CABA \par
\par}","CIRCULABA POR VENEZUELA  AL LLEGAR A LA ESQUINA, SE CORTA VENEZUELA  DOBLA A VIRREY LINIERS  A LA DERECHA Y DESDE LA SENDA PEATONAL LA BICI ME EMBISTE EN LA PARTE DELANTERA DERECHA, CAE AL PISO, NO SE LEVANTA SOLO, SE LO LLEVA EL SAME, LA POLICIA ME SECUESTRO EL AUTO

ASEGURADO FORMALIZO EN OFICINA DE NAZCA 
CIRCULABA POR VENEZUELA, GIRA A LA DERECHA PARA TOMAR VIRREY LINIERS 
BICICLETA POR BICISENDA DESDE LA DERECHA POR VIRREY LINIERS 
EL DAnO ES EN EL LADO DERECHO DEL RODADO ASEGURADO (PARAGOLPES) 
EL TERCERO FUE TRASLADADO  EN AMBULANCIA 
FUE LA POLICIA PERO NO LE HICIERON ALCOHOLEMIA 
NO TIENE CERT DE ACTUACIONES 
INTERVINO LA COMISARIA 10 
FISCALIA PENAL Y CONTRAVENCIONAL 22 CABA 
"
